id,attribute_id,lookup_id,type_of_assessment,schema_version,lookup_key,lookup_value,attribute_name,parent_name
26074,11,26074,SAP,SAP-Schema-16.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-16.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-16.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-16.0,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-16.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-16.1,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-16.1,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-16.1,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-16.1,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-16.1,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-16.2,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-16.2,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-16.2,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-16.2,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-16.2,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-16.3,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-16.3,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-16.3,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-16.3,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-16.3,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-17.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-17.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-17.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-17.0,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-17.0,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-17.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-17.1,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-17.1,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-17.1,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-17.1,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-17.1,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-17.1,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-18.0.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-18.0.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-18.0.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-18.0.0,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-18.0.0,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-18.0.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-19.0.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-19.0.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-19.0.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-19.0.0,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-19.0.0,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-19.0.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-19.1.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-19.1.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-19.1.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-19.1.0,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-19.1.0,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-19.1.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-19.2.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-19.2.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-19.2.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-19.2.0,4,24 hour,energy_tariff,
26079,11,26079,SAP,SAP-Schema-19.2.0,5,off-peak 18 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-19.2.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-11.2,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-11.2,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-11.2,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-11.2,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-12.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-12.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-12.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-12.0,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-13.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-13.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-13.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-13.0,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-14.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-14.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-14.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-14.0,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-14.1,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-14.1,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-14.1,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-14.1,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-14.2,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-14.2,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-14.2,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-14.2,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-15.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-15.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-15.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-15.0,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-16.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-16.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-16.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-16.0,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-16.1,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-16.1,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-16.1,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-16.1,4,24 hour,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-17.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-17.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-17.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-17.0,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-17.0,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-17.1,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-17.1,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-17.1,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-17.1,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-17.1,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-17.2,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-17.2,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-17.2,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-17.2,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-17.2,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-17.3,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-17.3,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-17.3,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-17.3,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-17.3,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-17.4,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-17.4,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-17.4,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-17.4,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-17.4,ND,not applicable,energy_tariff,
26074,11,26074,SAP,SAP-Schema-NI-18.0.0,1,standard tariff,energy_tariff,
26075,11,26075,SAP,SAP-Schema-NI-18.0.0,2,off-peak 7 hour,energy_tariff,
26076,11,26076,SAP,SAP-Schema-NI-18.0.0,3,off-peak 10 hour,energy_tariff,
26077,11,26077,SAP,SAP-Schema-NI-18.0.0,4,24 hour,energy_tariff,
26078,11,26078,SAP,SAP-Schema-NI-18.0.0,ND,not applicable,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-17.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-17.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-17.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-17.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-17.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-17.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-17.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-17.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-17.1,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-17.1,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-18.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-18.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-18.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-18.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-18.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-19.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-19.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-19.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-19.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-19.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-20.0.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-20.0.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-20.0.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-20.0.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-20.0.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-21.0.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-21.0.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-21.0.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-21.0.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-21.0.0,5,off-peak 18 hour,energy_tariff,
26084,11,26084,RdSAP,RdSAP-Schema-21.0.0,6,off-peak 10 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-21.0.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-21.0.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-21.0.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-21.0.1,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-21.0.1,5,off-peak 18 hour,energy_tariff,
26084,11,26084,RdSAP,RdSAP-Schema-21.0.1,6,off-peak 10 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-17.3,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-17.3,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-17.3,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-17.3,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-17.3,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-17.4,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-17.4,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-17.4,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-17.4,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-17.4,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-18.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-18.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-18.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-18.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-18.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-19.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-19.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-19.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-19.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-19.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-20.0.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-20.0.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-20.0.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-20.0.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-20.0.0,5,off-peak 18 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-21.0.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-21.0.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-21.0.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-21.0.0,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-21.0.0,5,off-peak 18 hour,energy_tariff,
26084,11,26084,RdSAP,RdSAP-Schema-NI-21.0.0,6,off-peak 10 hour,energy_tariff,
26080,11,26080,RdSAP,RdSAP-Schema-NI-21.0.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,RdSAP-Schema-NI-21.0.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,RdSAP-Schema-NI-21.0.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,RdSAP-Schema-NI-21.0.1,4,dual (24 hour),energy_tariff,
26079,11,26079,RdSAP,RdSAP-Schema-NI-21.0.1,5,off-peak 18 hour,energy_tariff,
26084,11,26084,RdSAP,RdSAP-Schema-NI-21.0.1,6,off-peak 10 hour,energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-11.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-11.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-11.0,3,Unknown,energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-11.2,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-11.2,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-11.2,3,Unknown,energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-12.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-12.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-12.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-12.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-13.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-13.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-13.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-13.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-14.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-14.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-14.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-14.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-14.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-14.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-14.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-14.1,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-14.2,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-14.2,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-14.2,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-14.2,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-15.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-15.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-15.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-15.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-16.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-16.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-16.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-16.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-16.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-16.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-16.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-16.1,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-16.2,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-16.2,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-16.2,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-16.2,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-16.3,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-16.3,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-16.3,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-16.3,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-11.2,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-11.2,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-11.2,3,Unknown,energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-12.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-12.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-12.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-12.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-13.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-13.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-13.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-13.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-14.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-14.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-14.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-14.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-14.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-14.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-14.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-14.1,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-14.2,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-14.2,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-14.2,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-14.2,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-15.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-15.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-15.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-15.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-16.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-16.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-16.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-16.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-16.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-16.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-16.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-16.1,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-17.0,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-17.0,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-17.0,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-17.0,4,dual (24 hour),energy_tariff,
26080,11,26080,RdSAP,SAP-Schema-NI-17.1,1,dual,energy_tariff,
26081,11,26081,RdSAP,SAP-Schema-NI-17.1,2,Single,energy_tariff,
26082,11,26082,RdSAP,SAP-Schema-NI-17.1,3,Unknown,energy_tariff,
26083,11,26083,RdSAP,SAP-Schema-NI-17.1,4,dual (24 hour),energy_tariff,
